01.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Friedrichshain,Frankfurter Allee ,,52.51411292907847,13.470782053265648,Baustelle,"keine Sperrung # Fahrbahnsanierung, Fahrbahn auf einen Fahrstreifen verengt, Rechtsabbiegen in Voigtstraße nicht möglich",AB,deXXX
22.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Malchow,B2 Dorfstraße ,,52.58178622854638,13.483010772619055,Baustelle,"keine Sperrung # Bauarbeiten am Stromnetz, Fahrbahnverengung und -verschwenkung, Staugefahr",BD,deXXX
23.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Mitte,Torstraße ,,52.527189369088035,13.415290238098098,Baustelle,"keine Sperrung # Gleisbauarbeiten,Fahrbahn auf einen Fahrstreifen verengt, Linksabbieger gesperrt",AB,deXXX
15.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Karow,Bucher Chaussee ,,52.618194134803296,13.487806691429892,Baustelle,"keine Sperrung # Fahrbahnsanierungsarbeiten, Gegenverkehrsregelung mit Baustellenampel",BD,deXXX
23.11.2023 - 12:00,06.11.2023 - 17:03,Berlin,Mitte,Karl-Liebknecht-Straße/Prenzlauer Allee ,,52.526982705255094,13.415742933976503,Baustelle,"keine Sperrung # Gleisbauarbeiten, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
30.06.2024 - 17:00,06.11.2023 - 17:03,Berlin,Niederschöneweide,Michael-Brückner-Straße ,,52.45640623767737,13.509919086460574,Baustelle,"keine Sperrung # Baustelle, Fahrbahn stadteinwärts auf einen Fahrstreifen verengt, Fahrbahn stadtauswärts auf zwei Fahrstreifen verengt, vom Sterndamm kommend nur ein Linksabbieger frei",BD,deXXX
06.11.2023 - 17:03,06.11.2023 - 17:03,Berlin,Pankow,Prenzlauer Promenade ,,52.57566303306407,13.429626102944528,Baustelle,"keine Sperrung # Baustelle, rechter Fahrstreifen gesperrt",AB,deXXX
13.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Plänterwald,Kiefholzstraße ,,52.47803425692562,13.469543770348496,Baustelle,"keine Sperrung # Leitungsarbeiten, eine Baustellenampel regelt den Verkehr",BD,deXXX
24.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Britz,Mohriner Allee ,,52.44173458956327,13.424664265079265,Baustelle,"keine Sperrung # Leitungsarbeiten, eine Baustellenampel regelt den Verkehr",BD,deXXX
11.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Prenzlauer Berg,Ostseestraße ,,52.545879648255834,13.44406318405148,Baustelle,"keine Sperrung # Straßensanierung, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
15.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Tegel,Bernauer Straße ,,52.575907800329276,13.266747486768098,Baustelle,"keine Sperrung # Stromleitungsarbeiten, Gegenverkehrsregelung mit Baustellenampel",AB,deXXX
27.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Alt-Hohenschönhausen,Ferdinand-Schultze-Straße ,,52.53902063845235,13.511463123356357,Baustelle,"keine Sperrung # Straßenbau, Gegenverkehrsregelung mit Baustellenampel, Anbindung Plauener Straße für Kfz-Verkehr gesperrt",AB,deXXX
05.11.2023 - 23:59,06.11.2023 - 17:03,Berlin,Autobahnzubringer Hamburg,A111 ,,52.546189999999996,13.29917,Sperrung," # Bauarbeiten, Ein- und Ausfahrten Saatwinkler Damm gesperrt",AB,deXXX
06.11.2023 - 18:00,06.11.2023 - 17:03,Berlin,,A111,,52.543229999999994,13.29718,Sperrung,"Fahrtrichtungssperrung # Ausfahrt gesperrt, Bauarbeiten",AB,deXXX
06.11.2023 - 18:00,06.11.2023 - 17:03,Berlin,Autobahnzubringer Hamburg,A111 ,,52.54189700614597,13.296470881460264,Baustelle," # Baustelle, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
22.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Kreuzberg,Yorckstraße ,,52.49365897380205,13.383534980900714,Baustelle,"keine Sperrung # Baustelle, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
18.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Wilmersdorf,Mecklenburgische Straße ,,52.47898651919674,13.310197356737197,Baustelle,"keine Sperrung # Kabelarbeiten, Fahrbahn auf einen Fahrstreifen je Richtung verengt. Das Linksabbiegen in die Forckenbeckstraße ist nicht möglich, Umleitung ausgeschildert. Im Anschluss werden weitere Arbeiten durchgeführt.",BD,deXXX
31.12.2024 - 17:00,06.11.2023 - 17:03,Berlin,Wedding,Müllerstraße ,,52.54668837662321,13.358612925383929,Baustelle,"keine Sperrung # Hochbaustelle, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
23.11.2023 - 23:59,06.11.2023 - 17:03,Berlin,Mitte,Brückenstraße ,,52.512720531959665,13.417345311638991,Baustelle,"keine Sperrung # Kabelarbeiten, Gegenverkehrsregelung mit Baustellenampel, Anbindung westliche Rungestraße gesperrt",BD,deXXX
14.02.2024 - 17:00,06.11.2023 - 17:03,Berlin,Marzahn,Frank-Schweitzer-Straße ,,52.53938971374513,13.537277521628711,Baustelle,"keine Sperrung # Leitungsbauarbeiten, Gegenverkehrsregelung durch Baustellenampel",AB,deXXX
06.11.2023 - 06:00,06.11.2023 - 17:03,Berlin,Biesdorf,Alt-Biesdorf ,,52.50911672786262,13.554637550104115,Baustelle,"keine Sperrung # Leitungsbauarbeiten, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
01.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Schöneberg,Goebenstraße ,,52.49357156738652,13.36604027597507,Baustelle,"keine Sperrung # Kabelarbeiten, Fahrbahn auf zwei Fahrstreifen verengt",AB,deXXX
08.12.2023 - 04:00,06.11.2023 - 17:03,Berlin,Wilmersdorf,Mannheimer Straße ,,52.48412003873096,13.313649999998491,Sperrung, # wegen Baustelle gesperrt,AB,deXXX
22.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Köpenick,Müggelheimer Straße ,,52.444105304045294,13.57774067075368,Baustelle,"keine Sperrung # Schachtarbeiten, rechter Fahrstreifen gesperrt",AB,deXXX
22.11.2023 - 18:00,06.11.2023 - 17:03,Berlin,Mitte,Rosenthaler Straße ,,52.526067015671025,13.403667957809292,Sperrung,"Vollsperrung # Bauarbeiten, Vollsperrung für Kfz-Verkehr, täglich von 06-18 Uhr",BD,deXXX
31.01.2024 - 17:00,06.11.2023 - 17:03,Berlin,Charlottenburg,Tauentzienstraße ,,52.50440596511924,13.335684036337321,Baustelle,"keine Sperrung # Leitungsarbeiten, Fahrbahn auf einen Fahrstreifen verengt, Anbindung Rankestraße für Kfz- Verkehr gesperrt",AB,deXXX
04.03.2024 - 17:00,06.11.2023 - 17:03,Berlin,Weißensee,Hansastraße ,,52.558771789955756,13.492436160607722,Baustelle,"keine Sperrung # Bauarbeiten am Stromnetz, Fahrbahn auf jeweils einen Fahrstreifen verengt",BD,deXXX
23.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Köpenick,Fürstenwalder Damm ,,52.45311792493445,13.593334192274764,Baustelle,"keine Sperrung # Kanalarbeiten, Fahrstreifenreduzierungen im gesamten Kreuzungsbereich",AB,deXXX
13.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Tiergarten,Stülerstraße ,,52.50930406013343,13.34999688084298,Baustelle,"keine Sperrung # Fahrbahnausbesserungsarbeiten, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
15.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Marzahn,Mehrower Allee/Glambecker Ring ,,52.55512407826889,13.574644866552834,Sperrung,"Vollsperrung # Erneuerung Ampelanlage, Vollsperrung Glambecker Ring für Kfz- und Radverkehr, Umleitungen sind ausgewiesen, Mehrower Alleee nur Rechtabbiegen in Blumberger Damm möglich",AB,deXXX
15.12.2023 - 17:00,06.11.2023 - 17:03,Berlin,Marzahn,Blumberger Damm ,,52.556159554029634,13.574910185356227,Sperrung,"Vollsperrung # Erneuerung Ampelanlage, Vollsperrung für Kfz- und Radverkehr, Umleitungen sind ausgewiesen",BD,deXXX
20.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Neukölln,Sonnenallee ,,52.47425170610097,13.455176978024152,Baustelle,"keine Sperrung # Straßenbauarbeiten, Fahrbahn jeweils auf einen Fahrstreifen verengt und verschwenkt",BD,deXXX
20.11.2023 - 17:00,06.11.2023 - 17:03,Berlin,Oberschöneweide,Wilheminenhofstraße ,,52.459300066404005,13.524597510575315,Baustelle,"Vollsperrung # Gleisbauarbeiten, Vollsperrung für Kfz-Verkehr, Anbindungen Anliegerstraßen gesperrt, Umleitung ausgewiesen",BD,deXXX
30.11.2024 - 17:00,06.11.2023 - 17:03,Berlin,Weißensee,Prenzlauer Promenade ,,52.552227007423056,13.430272041350701,Baustelle,"keine Sperrung # Gebäudesanierung, Fahrbahn auf einen Fahrstreifen verengt",AB,deXXX
